[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:21:00.136] iteration 111 : total loss : 0.328060, loss_ce: 0.237877, loss_dice: 0.418243, loss_cons: 0.008499 , con_weight: 0.000000
[15:21:00.809] iteration 112 : total loss : 0.342425, loss_ce: 0.271080, loss_dice: 0.413771, loss_cons: 0.009424 , con_weight: 0.000000
[15:21:02.182] iteration 113 : total loss : 0.350802, loss_ce: 0.264079, loss_dice: 0.437525, loss_cons: 0.010822 , con_weight: 0.000000
[15:21:02.789] iteration 114 : total loss : 0.340690, loss_ce: 0.257045, loss_dice: 0.424335, loss_cons: 0.013415 , con_weight: 0.000000
[15:21:03.703] iteration 115 : total loss : 0.486337, loss_ce: 0.470116, loss_dice: 0.502559, loss_cons: 0.016821 , con_weight: 0.000000
[15:21:04.500] iteration 116 : total loss : 0.352247, loss_ce: 0.293648, loss_dice: 0.410846, loss_cons: 0.012801 , con_weight: 0.000000
[15:21:05.260] iteration 117 : total loss : 0.320616, loss_ce: 0.213722, loss_dice: 0.427511, loss_cons: 0.009132 , con_weight: 0.000000
[15:21:05.998] iteration 118 : total loss : 0.357885, loss_ce: 0.287487, loss_dice: 0.428282, loss_cons: 0.008008 , con_weight: 0.000000
[15:21:07.095] iteration 119 : total loss : 0.369294, loss_ce: 0.314937, loss_dice: 0.423651, loss_cons: 0.007628 , con_weight: 0.000000
[15:21:07.969] iteration 120 : total loss : 0.310764, loss_ce: 0.234908, loss_dice: 0.386620, loss_cons: 0.006965 , con_weight: 0.000000
[15:21:08.597] iteration 121 : total loss : 0.370268, loss_ce: 0.310636, loss_dice: 0.429900, loss_cons: 0.007872 , con_weight: 0.000000
[15:21:09.275] iteration 122 : total loss : 0.338977, loss_ce: 0.258030, loss_dice: 0.419925, loss_cons: 0.009008 , con_weight: 0.000000
[15:21:09.903] iteration 123 : total loss : 0.363803, loss_ce: 0.300270, loss_dice: 0.427335, loss_cons: 0.010099 , con_weight: 0.000000
[15:21:10.579] iteration 124 : total loss : 0.414227, loss_ce: 0.369714, loss_dice: 0.458740, loss_cons: 0.009766 , con_weight: 0.000000
[15:21:11.435] iteration 125 : total loss : 0.381438, loss_ce: 0.336068, loss_dice: 0.426809, loss_cons: 0.008647 , con_weight: 0.000000
[15:21:12.077] iteration 126 : total loss : 0.360243, loss_ce: 0.319861, loss_dice: 0.400626, loss_cons: 0.006788 , con_weight: 0.000000
[15:21:12.799] iteration 127 : total loss : 0.313033, loss_ce: 0.252271, loss_dice: 0.373794, loss_cons: 0.008589 , con_weight: 0.000000
[15:21:13.466] iteration 128 : total loss : 0.437192, loss_ce: 0.405609, loss_dice: 0.468775, loss_cons: 0.008667 , con_weight: 0.000000
[15:21:14.924] iteration 129 : total loss : 0.404394, loss_ce: 0.328122, loss_dice: 0.480665, loss_cons: 0.010679 , con_weight: 0.000000
[15:21:15.531] iteration 130 : total loss : 0.386222, loss_ce: 0.337791, loss_dice: 0.434652, loss_cons: 0.010735 , con_weight: 0.000000
[15:21:16.435] iteration 131 : total loss : 0.373982, loss_ce: 0.297883, loss_dice: 0.450081, loss_cons: 0.009585 , con_weight: 0.000000
[15:21:17.253] iteration 132 : total loss : 0.313867, loss_ce: 0.251882, loss_dice: 0.375853, loss_cons: 0.008801 , con_weight: 0.000000
[15:21:18.012] iteration 133 : total loss : 0.329722, loss_ce: 0.262751, loss_dice: 0.396692, loss_cons: 0.008370 , con_weight: 0.000000
[15:21:18.757] iteration 134 : total loss : 0.349161, loss_ce: 0.280480, loss_dice: 0.417842, loss_cons: 0.008544 , con_weight: 0.000000
[15:21:19.856] iteration 135 : total loss : 0.335989, loss_ce: 0.271009, loss_dice: 0.400969, loss_cons: 0.008962 , con_weight: 0.000000
[15:21:20.701] iteration 136 : total loss : 0.309810, loss_ce: 0.249282, loss_dice: 0.370337, loss_cons: 0.008875 , con_weight: 0.000000
[15:21:21.332] iteration 137 : total loss : 0.342590, loss_ce: 0.291841, loss_dice: 0.393340, loss_cons: 0.007394 , con_weight: 0.000000
[15:21:22.020] iteration 138 : total loss : 0.368636, loss_ce: 0.316690, loss_dice: 0.420582, loss_cons: 0.006937 , con_weight: 0.000000
[15:21:22.647] iteration 139 : total loss : 0.306282, loss_ce: 0.228709, loss_dice: 0.383855, loss_cons: 0.008255 , con_weight: 0.000000
[15:21:23.297] iteration 140 : total loss : 0.364752, loss_ce: 0.318731, loss_dice: 0.410773, loss_cons: 0.009182 , con_weight: 0.000000
[15:21:24.152] iteration 141 : total loss : 0.297883, loss_ce: 0.215973, loss_dice: 0.379794, loss_cons: 0.010509 , con_weight: 0.000000
[15:21:24.804] iteration 142 : total loss : 0.295367, loss_ce: 0.227804, loss_dice: 0.362930, loss_cons: 0.010642 , con_weight: 0.000000
[15:21:25.485] iteration 143 : total loss : 0.318053, loss_ce: 0.247527, loss_dice: 0.388579, loss_cons: 0.011098 , con_weight: 0.000000
[15:21:26.143] iteration 144 : total loss : 0.341579, loss_ce: 0.265450, loss_dice: 0.417707, loss_cons: 0.009387 , con_weight: 0.000000
[15:21:27.560] iteration 145 : total loss : 0.344802, loss_ce: 0.287111, loss_dice: 0.402492, loss_cons: 0.007909 , con_weight: 0.000000
[15:21:28.172] iteration 146 : total loss : 0.306319, loss_ce: 0.238510, loss_dice: 0.374128, loss_cons: 0.007536 , con_weight: 0.000000
[15:21:29.079] iteration 147 : total loss : 0.338893, loss_ce: 0.266704, loss_dice: 0.411081, loss_cons: 0.006663 , con_weight: 0.000000
[15:21:29.878] iteration 148 : total loss : 0.307079, loss_ce: 0.216392, loss_dice: 0.397765, loss_cons: 0.006177 , con_weight: 0.000000
[15:21:30.634] iteration 149 : total loss : 0.296205, loss_ce: 0.200071, loss_dice: 0.392340, loss_cons: 0.006749 , con_weight: 0.000000
[15:21:31.375] iteration 150 : total loss : 0.397980, loss_ce: 0.332461, loss_dice: 0.463499, loss_cons: 0.007381 , con_weight: 0.000000
[15:21:32.455] iteration 151 : total loss : 0.327041, loss_ce: 0.254745, loss_dice: 0.399338, loss_cons: 0.007399 , con_weight: 0.000000
[15:21:33.327] iteration 152 : total loss : 0.359401, loss_ce: 0.293928, loss_dice: 0.424875, loss_cons: 0.008063 , con_weight: 0.000000
[15:21:33.985] iteration 153 : total loss : 0.282363, loss_ce: 0.193465, loss_dice: 0.371262, loss_cons: 0.008702 , con_weight: 0.000000
[15:21:34.677] iteration 154 : total loss : 0.335828, loss_ce: 0.261153, loss_dice: 0.410503, loss_cons: 0.008493 , con_weight: 0.000000
[15:21:35.294] iteration 155 : total loss : 0.349141, loss_ce: 0.314934, loss_dice: 0.383348, loss_cons: 0.008901 , con_weight: 0.000000
[15:21:35.952] iteration 156 : total loss : 0.332734, loss_ce: 0.252368, loss_dice: 0.413099, loss_cons: 0.009320 , con_weight: 0.000000
[15:21:36.809] iteration 157 : total loss : 0.321158, loss_ce: 0.258237, loss_dice: 0.384078, loss_cons: 0.010342 , con_weight: 0.000000
[15:21:37.452] iteration 158 : total loss : 0.314161, loss_ce: 0.258691, loss_dice: 0.369632, loss_cons: 0.011648 , con_weight: 0.000000
[15:21:38.173] iteration 159 : total loss : 0.368326, loss_ce: 0.339596, loss_dice: 0.397055, loss_cons: 0.010463 , con_weight: 0.000000
[15:21:38.865] iteration 160 : total loss : 0.310243, loss_ce: 0.251681, loss_dice: 0.368806, loss_cons: 0.011871 , con_weight: 0.000000
[15:21:40.258] iteration 161 : total loss : 0.362938, loss_ce: 0.294307, loss_dice: 0.431568, loss_cons: 0.015713 , con_weight: 0.000000
